Week,Call
6/30-7/4,XD
7/7- 7/11,MG
7/14-7/18,ZT
7/21-7/25,MM
7/28-8/1,DF
8/4-8/8,XD
8/11- 8/15,MM
8/18-8/22,IM
8/25-8/29,MG
9/1-9/5,DF
9/8-9/12,MM
9/15-9/19,IM
9/22-9/26,ZT
9/29-10/3,XD
10/6-10/10,MG
10/13-10/17,AM
10/20-10/24,XD
10/27-10/31,AA
11/3-11/7,MG
11/10-11/14,DF
11/17-11/21,MD
11/24-11/28,IM
12/1-12/5,EZ
12/8-12/12,MM
12/15-12/19,AM
12/22-12-26,AA
12/29-1/2/26,MD
01/05-01/09,EZ
01/12-01/16,AM
01/19-01/23,EZ
01/26-01/30,AA
02/02-02/06,MD
02/09-02/13,ZT
02/16-02/20,XD
02/23-02/27,MD
03/02-03/06,AA
03/09-03/13,ZT
03/16-03/20,MD
03/23-03/27,DF
03/30-04/03,EZ
04/06-04/10,AM
04/13-04/17,IM
04/20-04/24,EZ
04/27-05/01,AA
05/04-05/08,EZ
5/11-5/15,AM
05/18-05/22,IM
05/25-05/29,AA
06/01-06/05,MD
06/08-06/12,DF
06/15-06/19,AM
06/22-06/26,MG
